question_id,video_id,type,series,status,score,max_score,normalized_score,source_run,http_status,request_hash
G2_Q000001,G2_V000001,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000002,G2_V000001,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000003,G2_V000002,emotional reasoning,unclassified,scored,0,1,0.0,,,
G2_Q000004,G2_V000002,emotional reasoning,unclassified,scored,1,1,1.0,,,
G2_Q000005,G2_V000003,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000006,G2_V000003,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000007,G2_V000003,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000008,G2_V000004,emotional intensity comparison,unclassified,scored,0,1,0.0,,,
G2_Q000009,G2_V000004,emotion trajectory,unclassified,scored,3,4,0.75,,,
G2_Q000010,G2_V000005,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000011,G2_V000005,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000012,G2_V000006,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000013,G2_V000006,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000014,G2_V000007,emotion trajectory,unclassified,scored,4,4,1.0,,,
G2_Q000015,G2_V000007,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000016,G2_V000008,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000017,G2_V000009,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000018,G2_V000009,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000019,G2_V000009,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000020,G2_V000010,emotion trajectory,unclassified,answer_output_json_error,,,,noevent_progressive_cached_v2_unattempted_20260924,,05d1ced112e6bd31652cd6be5cc1bd048c69193c821bf38dcdc471291aa14cef
G2_Q000021,G2_V000010,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000022,G2_V000010,emotional reasoning,unclassified,answer_output_json_error,,,,noevent_progressive_cached_v2_unattempted_20260924,,dc28cbebf2bd95c721923f542614c0d42bf9d2e32a37aef7173097267b29cb1f
G2_Q000023,G2_V000011,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000024,G2_V000012,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000025,G2_V000012,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000026,G2_V000012,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000027,G2_V000012,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000028,G2_V000013,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000029,G2_V000013,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000030,G2_V000013,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000031,G2_V000013,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000032,G2_V000014,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000033,G2_V000014,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000034,G2_V000014,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000035,G2_V000014,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000036,G2_V000015,emotional reasoning,unclassified,scored,1,3,0.3333333333333333,,,
G2_Q000037,G2_V000015,emotional reasoning,unclassified,scored,1,1,1.0,,,
G2_Q000038,G2_V000015,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000039,G2_V000015,emotion trajectory,unclassified,answer_output_json_error,,,,noevent_progressive_cached_v2_unattempted_20260924,,c7f9b8c0eef24b14227ce22f7c00486295fecf5268713a1523c68270beef2761
G2_Q000040,G2_V000015,emotional intensity comparison,unclassified,excluded_prior_backend_refusal,,,,,,
G2_Q000041,G2_V000016,emotional intensity comparison,unclassified,scored,0,1,0.0,,,
G2_Q000042,G2_V000016,emotion trajectory,unclassified,scored,2,4,0.5,,,
G2_Q000043,G2_V000017,emotional reasoning,unclassified,scored,1,1,1.0,,,
G2_Q000044,G2_V000017,emotional reasoning,unclassified,scored,0,1,0.0,,,
G2_Q000045,G2_V000018,emotional intensity comparison,unclassified,scored,0,1,0.0,,,
G2_Q000046,G2_V000019,emotional intensity comparison,unclassified,scored,1,1,1.0,,,
G2_Q000047,G2_V000019,emotional intensity comparison,unclassified,scored,0,1,0.0,,,
G2_Q000048,G2_V000020,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
G2_Q000049,G2_V000021,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000050,G2_V000021,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000051,G2_V000022,emotional intensity comparison,unclassified,no_complete_observation_cache,,,,,,
G2_Q000052,G2_V000022,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000053,G2_V000022,emotion trajectory,unclassified,no_complete_observation_cache,,,,,,
G2_Q000054,G2_V000022,emotional reasoning,unclassified,no_complete_observation_cache,,,,,,
