question_id,video_id,series,type,status,score,max_score,normalized_score_100,category,source_run,source_sha256,accepted_sha256,stage,window_id,request_hash,evidence_sha256
G2_Q000001,G2_V000001,unclassified,emotional intensity comparison,scored,1,1,100.0,,/root/longemo/runtime/runs/three_level_full558_gemini38_20260922,2effda7137ca60ad7192e6857a97110f296d23dbcf659ced54fef5037a22ec38,6ca2c84a281a643e3bd432866b4d429b2887145535cdffb9d709e0cd72778e47,,,,
G2_Q000002,G2_V000001,unclassified,emotion trajectory,scored,2,4,50.0,,/root/longemo/runtime/runs/three_level_full558_gemini38_20260922,2effda7137ca60ad7192e6857a97110f296d23dbcf659ced54fef5037a22ec38,594499b0c9296980ea1155220f01c162765eefaee0ee4b4c87b5ce03bcf4059a,,,,
G2_Q000003,G2_V000002,unclassified,emotional reasoning,scored,0,1,0.0,,/root/longemo/runtime/runs/noevent_runtime24_continuation_20260923,1e8ce65f12c96a5c230d480f3d631fd4f77a620f61b7ffc4fb9c8d4807df852f,3d9f91fbe78bed7fcde3e1cb871af7073eee4166ffca05c9fc025e40cd5cf2b9,,,,
G2_Q000004,G2_V000002,unclassified,emotional reasoning,scored,1,1,100.0,,/root/longemo/runtime/runs/noevent_runtime24_continuation_20260923,1e8ce65f12c96a5c230d480f3d631fd4f77a620f61b7ffc4fb9c8d4807df852f,743afe1a3b25a1fde1ca4484c52860f88b535cf6035dc9bc65cfe26bea47facb,,,,
G2_Q000005,G2_V000003,unclassified,emotional intensity comparison,blocked,,,,perception_content_filter,/root/longemo/runtime/runs/three_level_full558_gemini38_20260922,,,audio,W00051,14532312d7743872de68cd06eeaf4d53c9f913d391359c8a2c4bb90aec4450fb,e93aed85ef953c9a42b106d63df07e6749b3d4b08a842688b2227f802d6dbddd
G2_Q000006,G2_V000003,unclassified,emotional intensity comparison,blocked,,,,perception_content_filter,/root/longemo/runtime/runs/three_level_full558_gemini38_20260922,,,audio,W00051,14532312d7743872de68cd06eeaf4d53c9f913d391359c8a2c4bb90aec4450fb,e93aed85ef953c9a42b106d63df07e6749b3d4b08a842688b2227f802d6dbddd
G2_Q000007,G2_V000003,unclassified,emotional reasoning,blocked,,,,perception_content_filter,/root/longemo/runtime/runs/three_level_full558_gemini38_20260922,,,audio,W00051,14532312d7743872de68cd06eeaf4d53c9f913d391359c8a2c4bb90aec4450fb,e93aed85ef953c9a42b106d63df07e6749b3d4b08a842688b2227f802d6dbddd
G2_Q000008,G2_V000004,unclassified,emotional intensity comparison,scored,0,1,0.0,,/root/longemo/runtime/runs/three_level_full558_gemini38_20260922,b25fdaaa01bd332d4c2938b23b41cf61a2b2a172ca8c8a7bfbea6bfd4a748d82,315cb130882cff7f7e9a84091e9233f28ff8af763aa69325c371824a47619d57,,,,
G2_Q000009,G2_V000004,unclassified,emotion trajectory,scored,2,4,50.0,,/root/longemo/runtime/runs/three_level_full558_gemini38_20260922,b25fdaaa01bd332d4c2938b23b41cf61a2b2a172ca8c8a7bfbea6bfd4a748d82,5734c52f8cecbf3cb11619433646ae20e59740736d4141eee1a4a20090692cde,,,,
G2_Q000010,G2_V000005,unclassified,emotional reasoning,blocked,,,,perception_dlp_rejection,/root/longemo/runtime/runs/three_level_full558_gemini38_20260922,,,audio,W00018,e8cca5de9c199a9c1bb91d922a3f9b18af95bf592a511266ac91f706927c1efc,60eb63c20f107cb5ec50a573aebbc76f28d2f1ed31722cf949d1df27d2b35a7a
